,id,name,host_id,neighbourhood_group_cleansed,zipcode,latitude,longitude,room_type,bedrooms,square_feet,price,number_of_reviews,review_scores_rating,accommodates,bathrooms,beds,host_total_listings_count
4029,7323186,Renewed Studio in a perfec location,11636913,Manhattan,10019,40.76689977840229,-73.98638441177563,Entire home/apt,0.0,,150.0,16,87.0,2,1.0,1.0,2.0
4030,506571,Large sunny 1br apt in East Village,2349977,Manhattan,10009,40.727562213657286,-73.97938930268613,Entire home/apt,1.0,,180.0,18,92.0,2,1.0,1.0,1.0
4032,1591756,"Stylish, Sweet and Peaceful 1 Bed Apt",8477704,Manhattan,10002,40.71741327436993,-73.98859128612685,Entire home/apt,1.0,,111.0,21,90.0,2,1.0,1.0,1.0
4034,13781447,Spacious & Modern 2BdR,80735525,Manhattan,10019,40.76343956641187,-73.99146266548195,Entire home/apt,2.0,,225.0,15,89.0,6,1.0,3.0,1.0
4036,13744807,Cooper Square Top-Floor Duplex with Terrace,438572,Manhattan,10003,40.72809589149036,-73.99066605003388,Entire home/apt,1.0,,250.0,3,100.0,3,1.5,1.0,1.0
4037,12958372,Brand New/Stunning 2 Bedroom next to Times Square,71239446,Manhattan,10019,40.764167274609896,-73.98941279361715,Entire home/apt,2.0,,300.0,11,93.0,6,1.0,5.0,1.0
4038,9797293,East Harlem Holiday Stay,5474579,Manhattan,10035,40.7961721784038,-73.93451658070033,Entire home/apt,1.0,,85.0,0,,3,1.0,2.0,1.0
4039,9550485,Private Bedroom in Heart of Soho,34691404,Manhattan,10012,40.725007597963426,-74.00353271394032,Private room,1.0,,90.0,2,80.0,2,1.0,1.0,1.0
4040,15448724,Beautiful newly renovated one bedroom for up to 4,42767899,Manhattan,10012,40.72358467203061,-74.0039430246352,Entire home/apt,1.0,,225.0,1,100.0,4,1.0,2.0,1.0
4041,10599053,magical oasis in nyc for 2 or 3,50945852,Manhattan,10031,40.82828488744836,-73.94676328068452,Private room,1.0,,75.0,13,97.0,2,1.0,1.0,1.0
4045,13744765,Quintessential New York 2bdrm loft in Chelsea,42782892,Manhattan,10011,40.74107138699663,-73.99594987500431,Entire home/apt,2.0,,250.0,2,100.0,5,2.0,3.0,1.0
4046,10343320,"Great 1BR on UWS, tree lined block!",21359759,Manhattan,10025,40.799394982595494,-73.96875124400678,Entire home/apt,1.0,,125.0,12,87.0,4,1.0,2.0,1.0
4047,15579770,Chic One Bedroom in Soho,21936842,Manhattan,10012,40.72531018026736,-74.0029099835949,Entire home/apt,1.0,,399.0,0,,4,1.0,2.0,1.0
4048,5749343,Luxury 1BD close to Central Park,11403277,Manhattan,10024,40.79205137232887,-73.9745800326515,Entire home/apt,1.0,,300.0,44,92.0,4,1.0,2.0,1.0
4052,9550423,NYC Empire State builduing Apt,2887143,Manhattan,10016,40.74447744884702,-73.97838128003563,Entire home/apt,1.0,,249.0,1,80.0,2,1.0,1.0,1.0
4053,2079253,Privade studio in EastVillage-heart of NY,226697,Manhattan,10009,40.727402427847096,-73.97906243365712,Private room,1.0,,105.0,79,87.0,2,1.0,1.0,1.0
4054,6797905,Elegant studio in the UES,11013095,Manhattan,10075,40.77734413998008,-73.95997114334655,Entire home/apt,0.0,,150.0,0,,2,1.0,1.0,1.0
4057,11909668,Adorable Studio In West Village,7138425,Manhattan,10014,40.73662809001486,-74.00379222497021,Entire home/apt,0.0,,198.0,31,92.0,2,1.0,1.0,1.0
4058,9550392,Wonderful location for traveler !!,49456391,Manhattan,10044,40.7629789933274,-73.94855895376794,Private room,1.0,,80.0,0,,2,1.5,1.0,1.0
4060,8895019,1 Bd Ap. in Hell's Kitchen Times Sq,1020828,Manhattan,10036,40.76391519248367,-73.99514084284591,Entire home/apt,1.0,,150.0,1,100.0,2,1.0,1.0,1.0
4061,3404873,Spot in the Heights!,17171419,Manhattan,10033,40.850829363152734,-73.92870144953923,Private room,1.0,,39.0,30,89.0,3,1.0,1.0,2.0
4062,3404892,Room in the Heights.  ,17171419,Manhattan,10033,40.85219378380485,-73.92863352674185,Private room,1.0,,69.0,1,80.0,3,1.0,2.0,2.0
4066,14924313,Blissful Midtown East 2BR apt in the heart of NYC!,14817451,Manhattan,,40.751811593831206,-73.97082758167434,Private room,1.0,,275.0,7,91.0,5,1.0,2.0,1.0
4067,12040727,Large room in Lower East Side,64458426,Manhattan,10002,40.713526386437245,-73.98761253285019,Private room,1.0,,100.0,2,100.0,2,1.0,1.0,1.0
4068,10598941,Studio Apt in the East Village,54689007,Manhattan,10003,40.726947691934704,-73.98722744703062,Entire home/apt,1.0,,100.0,2,100.0,1,1.0,1.0,1.0
4071,7715344,1 Bedroom Apart in Spanish Harlem,15581933,Manhattan,10029,40.793237360188535,-73.94513423840996,Entire home/apt,1.0,,90.0,4,95.0,4,1.0,1.0,1.0
4072,2079247,Cozy room in Harlem,10623565,Manhattan,10031,40.827574008590375,-73.94507565611893,Private room,1.0,,60.0,0,,2,1.0,1.0,1.0
4073,2472461,Soho/Nolita Clean + Quiet GEM,1364156,Manhattan,10012,40.72077826308945,-73.99439293114914,Entire home/apt,1.0,,210.0,3,93.0,2,1.0,1.0,1.0
4075,15055367,Modern Chic Two Bedroom - Family Friendly,95165587,Manhattan,10011,40.735717694219744,-73.9944573587849,Entire home/apt,2.0,,492.0,5,84.0,5,1.0,3.0,1.0
4077,15055363,Great room in Harlem apartment!,5143860,Manhattan,10031,40.830488497463605,-73.94532065738095,Private room,1.0,,55.0,1,,2,1.0,1.0,1.0
4080,10205650,Private bedroom in UWS apartment,4128746,Manhattan,10024,40.7826313206999,-73.97803477299976,Private room,1.0,,120.0,61,97.0,2,1.0,1.0,1.0
4082,9945481,"Modern, Bright 1br apt on Broadway!",51112551,Manhattan,10023,40.777980292779844,-73.98344650553302,Entire home/apt,1.0,,210.0,3,100.0,2,1.0,1.0,1.0
4083,3129731,Double room with terrace in UES,7853594,Manhattan,10065,40.76281996385219,-73.96369615295409,Private room,1.0,,150.0,14,97.0,2,1.5,1.0,2.0
4084,14008708,Sunny Brand New Gorgeous Best Location 2BED!,30242632,Manhattan,10014,40.73232259519642,-74.00473440508199,Entire home/apt,2.0,,400.0,11,95.0,6,1.0,3.0,1.0
4090,2343208,Times Square Designr Townhouse Loft,11966421,Manhattan,10019,40.76125881474515,-73.98320424298801,Entire home/apt,3.0,,600.0,112,88.0,9,2.5,4.0,1.0
4091,1032537,Huge 1 BR ON MOST EXCITING STREET IN NY,5681654,Manhattan,10003,40.72761250582039,-73.98771445302685,Entire home/apt,1.0,600.0,200.0,8,75.0,2,1.0,1.0,1.0
4093,6144337,1-Bedroom Apt Across From Columbia,31872449,Manhattan,10027,40.807662263018656,-73.96024751683868,Entire home/apt,1.0,,110.0,1,,4,1.0,1.0,1.0
4095,14532944,Spacious Time Square/Hell's Kitchen 2 bed's Room,31757926,Manhattan,10036,40.7603798585012,-73.99447256632878,Private room,1.0,,175.0,9,93.0,4,1.0,2.0,1.0
4096,11387191,The White Room,4325655,Manhattan,10128,40.779041505900615,-73.95041022617829,Entire home/apt,1.0,,99.0,33,91.0,2,1.0,1.0,1.0
4099,15223519,1 Bedroom Gem in the East Village!,16012898,Manhattan,10009,40.72635764629525,-73.97780393261944,Private room,1.0,,125.0,4,100.0,2,1.0,1.0,1.0
4100,15769652,**Lovely Four-Bedroom/Six Bed Chelsea Home!**,101976032,Manhattan,10001,40.74406721561561,-73.99365587601656,Entire home/apt,4.0,,220.0,3,100.0,12,1.5,6.0,1.0
4101,5873714,East Village -  Beautiful 1 Bedroom,30500226,Manhattan,10003,40.73181881017446,-73.98450109557686,Private room,1.0,,195.0,18,92.0,2,1.0,1.0,1.0
4103,4825135,Sunny East Village Penthouse,14817963,Manhattan,10009,40.727671760273815,-73.97695796741705,Entire home/apt,2.0,,345.0,11,100.0,4,2.0,2.0,1.0
4104,19159,Spacious luminous apt.NY Upper West,73051,Manhattan,10031,40.82915232350532,-73.9513608585018,Entire home/apt,2.0,,140.0,46,93.0,4,1.0,2.0,1.0
4107,1949977,Giant luxury 1 BD in Hell's Kitchen,1454445,Manhattan,10019,40.76569113724848,-73.98283712141705,Entire home/apt,1.0,,225.0,5,92.0,4,1.0,2.0,1.0
4111,16206553,Naturally Lit Lower East Side Studio Apartment,7067450,Manhattan,10009,40.72218588057917,-73.9803611909479,Entire home/apt,0.0,,125.0,0,,2,1.0,1.0,1.0
4117,6013171,Master Private Room in Midtown,13917722,Manhattan,10019,40.76163907928607,-73.98594343127728,Private room,1.0,,150.0,0,,2,1.0,1.0,1.0
4118,3522797,Actress  Artsy Apartment Hip Hood!,17740995,Manhattan,10128,40.780736906800286,-73.9486702955537,Entire home/apt,1.0,,220.0,5,92.0,2,1.0,2.0,1.0
4119,12566761,Location!Meatpacking/Chelsea Border - large space!,25663096,Manhattan,10011,40.74050207597338,-73.99989185499787,Entire home/apt,1.0,,250.0,11,73.0,5,1.0,3.0,1.0
4123,8241378,West Village: the best part of town,43461780,Manhattan,10014,40.73618242696777,-74.00201261853374,Private room,1.0,,109.0,0,,2,1.0,1.0,1.0
4129,3290309,Oasis in the heart of New York,16622685,Manhattan,10013,40.722347788183505,-73.99543047797745,Entire home/apt,1.0,,295.0,17,97.0,3,1.0,1.0,1.0
4130,7717071,Amazing Apt in Manhattan!,243356,Manhattan,10026,40.79901136938879,-73.95373185552106,Entire home/apt,1.0,,160.0,1,100.0,2,1.0,1.0,1.0
4131,9609246,Private bedroom w/Terrace,49720830,Manhattan,10016,40.74898857721468,-73.97301153761545,Private room,1.0,,119.0,1,100.0,1,1.0,1.0,1.0
4132,1055674,Gorgeous Spacious 1BR nr Union Sq,4218130,Manhattan,10011,40.73751190551774,-73.99408013253802,Entire home/apt,1.0,,245.0,13,90.0,4,1.0,1.0,1.0
4133,10731680,3 bedroom in the heart of Manhattan,12133055,Manhattan,10036,40.75980895327355,-73.99070692535385,Entire home/apt,3.0,,400.0,23,87.0,6,1.0,3.0,1.0
4134,13615270,"NYC & Luxury, quiet, safe well located",78826514,Manhattan,10065,40.76885386790008,-73.96471895356375,Entire home/apt,0.0,,180.0,11,94.0,3,1.0,2.0,1.0
4135,7989254,Quiet 1 BR in the East Village,18878607,Manhattan,10003,40.73240806854192,-73.98717877125141,Private room,1.0,,120.0,1,100.0,1,1.0,1.0,2.0
4136,8503459,Quiet BR in Prime East Village,18878607,Manhattan,10003,40.730895007820656,-73.98603553908325,Private room,1.0,,90.0,1,,1,1.0,1.0,2.0
4137,13880697,Private Large Bedroom with views of East River!,82143608,Manhattan,10029,40.78679948491047,-73.94269448430181,Private room,1.0,,75.0,24,98.0,2,1.5,1.0,2.0
4138,15114265,Private Bedroom with views of East River!,82143608,Manhattan,10029,40.787620691466095,-73.94302666950242,Private room,1.0,,80.0,3,87.0,2,1.5,1.0,2.0
4139,5750897,Cozy and Large In Uptown Manhattan,19895989,Manhattan,10033,40.85693017103897,-73.93319670988981,Entire home/apt,1.0,,128.0,61,96.0,4,1.0,1.0,1.0
4142,15485635,Bedroom & Private Bath Morningside Heights,99431900,Manhattan,10027,40.81208025323371,-73.95844663443819,Private room,1.0,,120.0,0,,2,1.0,1.0,1.0
4148,2210281,Dreamy NYC Pre-War Near Columbia U.,2562281,Manhattan,10027,40.81059401574445,-73.9565017486207,Private room,1.0,,95.0,11,98.0,2,1.0,1.0,2.0
4149,2467814,Spacious 1 Bedroom Near Columbia U.,2562281,Manhattan,10027,40.8085948232177,-73.95819603029025,Entire home/apt,1.0,,95.0,2,90.0,2,1.0,1.0,2.0
4150,9681391,Sunny and Stylish Nolita Apartment,20080272,Manhattan,10013,40.720135395315275,-73.99890085417171,Entire home/apt,2.0,,250.0,1,20.0,4,1.0,2.0,1.0
4152,16103920,Nice Apartment MeatPacking,79060345,Manhattan,10011,40.73992333464727,-74.00220905515908,Entire home/apt,1.0,,180.0,0,,4,1.0,2.0,1.0
4156,2210219,Home Sweet Home !!!!,11273858,Manhattan,10021,40.765790233600605,-73.95732148705717,Entire home/apt,0.0,,110.0,89,86.0,3,1.0,1.0,2.0
4157,14006729,Cozy private bedroom in West Harlem,254650,Manhattan,10026,40.80431244459207,-73.95245210024693,Private room,1.0,,75.0,3,100.0,2,1.0,1.0,1.0
4159,4438459,Gorgeous 1 Bedroom in the heart of NYC: Chelsea,4967319,Manhattan,10011,40.73974017303647,-73.99985400770436,Entire home/apt,1.0,,325.0,19,95.0,2,1.0,1.0,1.0
4164,6273469,Beautiful West Village Studio,4248868,Manhattan,10014,40.73673698507494,-74.00831709101539,Entire home/apt,0.0,,200.0,0,,2,1.0,1.0,1.0
4167,4045195,A room with a private bathroom ,20974315,Manhattan,10029,40.794352880549546,-73.94260864005805,Private room,1.0,,120.0,26,95.0,2,1.0,2.0,1.0
4169,13846934,Apartment near Central Park,81747071,Manhattan,10026,40.80226687603163,-73.95571096550718,Entire home/apt,1.0,,135.0,3,80.0,4,1.0,2.0,1.0
4170,13613450,"East Village Studio, New York like in the Movies",78807434,Manhattan,10009,40.7273748972617,-73.97789473510801,Entire home/apt,1.0,,150.0,5,96.0,3,1.0,1.0,1.0
4171,10613267,2 Bedroom in fabulous location!,27690897,Manhattan,10014,40.7415459241242,-74.00560151245679,Entire home/apt,2.0,,300.0,1,100.0,4,1.0,2.0,2.0
4172,13220224,1 BR Available in Lovely 2 BR Meatpacking Apt,27690897,Manhattan,10014,40.742188897458576,-74.00397829611751,Private room,1.0,,120.0,7,91.0,2,1.0,1.0,2.0
4175,15972733,Cozy Private Bedroom in the Lower East Side,40639815,Manhattan,10002,40.71952794984922,-73.98364430567807,Private room,1.0,,75.0,0,,2,1.0,1.0,1.0
4176,10598766,Charming brownstone in Harlem,22625589,Manhattan,10031,40.82453690000472,-73.94730721152345,Private room,1.0,,225.0,1,,2,1.0,1.0,1.0
4177,4831603,Cozy Lower East Side Apartment,24872048,Manhattan,10002,40.72229461721895,-73.98912726198085,Entire home/apt,1.0,,225.0,0,,2,1.0,1.0,1.0
4178,16206226,1 bedroom in great location,100588628,Manhattan,10036,40.761975486459754,-73.98951696615731,Entire home/apt,1.0,,189.0,0,,2,1.0,1.0,1.0
4179,13744492,!!Luxury Private Room in Times Square!!,2985394,Manhattan,10036,40.75854731535644,-73.98326839900234,Private room,1.0,,219.0,0,,2,1.0,1.0,1.0
4180,12171619,The Manhattan Club - NYC Marathon Weekend,56098700,Manhattan,,40.76593343058807,-73.98120407643286,Entire home/apt,1.0,,500.0,0,,5,2.0,3.0,1.0
4181,15813008,Hip Chinatown/Lower East Side Private Bedroom,56094192,Manhattan,10002,40.71566660811886,-73.99485744193552,Private room,1.0,,100.0,0,,2,1.5,1.0,1.0
4182,14661973,1br in East Village Manhattan!,91082184,Manhattan,10009,40.732025474757144,-73.97488657403251,Private room,1.0,,83.0,1,,2,1.0,1.0,1.0
4184,9550171,"Perfectly located, vibrant studio!",49455312,Manhattan,,40.77471961423025,-73.98322621742938,Entire home/apt,0.0,,260.0,2,100.0,2,1.0,1.0,1.0
4185,8501574,"Modern, Sunny Nolita Escape 2BR/2BA",44766007,Manhattan,10013,40.721977624988526,-73.99611374306393,Entire home/apt,2.0,,465.0,53,95.0,6,2.0,3.0,1.0
4186,455734,"Sunny, spacious 1-bedroom apartment",2265389,Manhattan,10034,40.869286446808964,-73.9242137613397,Private room,1.0,,99.0,41,89.0,3,1.0,2.0,1.0
4188,15976928,LovelyBedroom NewYear UpperEastSide,49455217,Manhattan,10021,40.76917533134193,-73.9576276761765,Private room,1.0,,109.0,0,,2,1.0,1.0,2.0
4189,9550147,Comfortable couch for girl in NYC,49455217,Manhattan,10021,40.769177664381104,-73.9562440126318,Private room,1.0,,69.0,41,97.0,1,1.0,1.0,2.0
4190,6404432,Upper East Side Studio Near Park,6619680,Manhattan,10028,40.77468412364292,-73.94983668429977,Entire home/apt,0.0,,130.0,10,84.0,2,1.0,1.0,1.0
4191,15841618,Luxury apartment in Chelsea NY with doorman,90006957,Manhattan,10011,40.74269391630513,-73.99481975442916,Entire home/apt,2.0,,750.0,0,,4,2.0,3.0,1.0
4193,12405129,AMAZING PRIVATE ROOM WITH PATIO,67081164,Manhattan,10029,40.795058947304064,-73.94419860096501,Private room,1.0,,99.0,31,89.0,2,1.5,1.0,1.0
4197,1089240,Beautiful Bedroom/SPA Bath in Manhattan/Chelsea,5971251,Manhattan,10011,40.741965848624204,-73.99701926179685,Private room,1.0,,176.0,54,96.0,2,1.0,1.0,1.0
4199,15841588,King Size! Heart of Upper East Side,49111730,Manhattan,10075,40.77621196862026,-73.95354542998908,Private room,1.0,,85.0,1,100.0,2,1.0,1.0,1.0
4202,2210088,SUPER BOWL 2014 in TRENDY CHELSEA!,11273539,Manhattan,10011,40.747983936854695,-74.00314201748529,Entire home/apt,1.0,,900.0,0,,6,1.0,1.0,1.0
4203,13220125,Classic Downtown Loft in Coolest NYC Neighborhood,5485777,Manhattan,,40.71759643487013,-74.00287395373205,Entire home/apt,0.0,,180.0,3,93.0,3,1.0,1.0,1.0
4204,11421345,"Midtown West 2 Bed, 1 Bath",34747689,Manhattan,10036,40.760502611660186,-73.98959519056856,Entire home/apt,2.0,,400.0,10,94.0,4,1.0,2.0,2.0
4206,7846162,A East Village 2BDR 2BATH Patio,8324111,Manhattan,10009,40.72605672711081,-73.98592886770008,Entire home/apt,3.0,,389.0,1,100.0,4,2.0,2.0,1.0
4210,5880064,West/Greenwich Village Studio,6240701,Manhattan,10014,40.73348022985378,-74.00207463257452,Entire home/apt,0.0,,170.0,16,99.0,3,1.0,1.0,1.0
4213,12302561,Lovely small studio in Times Square,53906680,Manhattan,10018,40.75628423269888,-73.99258205038116,Private room,1.0,,120.0,36,93.0,3,1.0,1.0,1.0
4214,4831470,Modern High-rise w/ AMAZING Views,16620860,Manhattan,10036,40.761732601456025,-73.98846310601841,Entire home/apt,1.0,,299.0,21,97.0,4,1.0,1.0,1.0
4216,4962537,Luxury Soho studio w/ large kitchen,25581535,Manhattan,10012,40.72345105389218,-74.00101984921041,Entire home/apt,,,275.0,7,100.0,2,1.0,1.0,1.0
4218,13082319,Union Square Comfortable ! Gramercy Park,72574297,Manhattan,10003,40.734822046715095,-73.98635322968386,Entire home/apt,1.0,,350.0,2,90.0,2,1.5,2.0,1.0
4219,11909308,SoHo Studio on Spring Street,4392739,Manhattan,10013,40.72671372717268,-74.01035125246311,Entire home/apt,0.0,,350.0,25,100.0,2,1.0,1.0,1.0
4220,9943258,Cozy studio in Upper West Side,20765208,Manhattan,10024,40.78148054176885,-73.97868882658341,Entire home/apt,0.0,,140.0,0,,2,1.0,1.0,1.0
4221,981410,Sunny Studio in the West Village,5374768,Manhattan,10014,40.73331091408543,-74.00471008458814,Entire home/apt,1.0,,170.0,1,100.0,2,1.0,1.0,1.0
4225,13220017,Your gem on UES. Live like New Yorker!,74160727,Manhattan,10128,40.776240381401294,-73.94683261037784,Entire home/apt,0.0,,140.0,13,85.0,3,1.0,2.0,1.0
4227,6404264,Sunny View in Hamilton Heights,13583451,Manhattan,10030,40.820612652984316,-73.94637680809313,Private room,1.0,,70.0,0,,2,1.0,1.0,1.0
4229,9549987,Cozy room with window,49409651,Manhattan,10030,40.81611946199378,-73.94362614706884,Private room,1.0,,65.0,9,85.0,2,1.0,1.0,1.0
4232,7583901,Gorgeous 1 bedroom apt West Village,23299199,Manhattan,10014,40.73453499157166,-74.00656462152615,Entire home/apt,1.0,,235.0,0,,3,1.0,1.0,1.0
4233,12040331,Lrg 2 BR 2 Flrs TerraceWest Village,64454893,Manhattan,10003,40.73425646441699,-73.994758808714,Entire home/apt,2.0,,550.0,3,100.0,4,2.5,2.0,2.0
4236,11778159,Great Comfortable Beautiful 2BDR,59616922,Manhattan,10019,40.765337533212815,-73.9900839490553,Entire home/apt,2.0,,329.0,32,96.0,5,1.0,3.0,1.0
4237,15579256,Upper East Side Studio,100368462,Manhattan,10128,40.780454300772185,-73.94972496601595,Entire home/apt,1.0,,145.0,7,91.0,4,1.0,2.0,1.0
4246,3651675,A Place to Call Home U.W.S.,1184707,Manhattan,10025,40.799894052128046,-73.95978183331934,Private room,1.0,,80.0,0,,1,1.0,1.0,1.0
4248,15053369,Retro 1BD - Heart of E.VILL.,95143048,Manhattan,10003,40.72522106803317,-73.98730307192824,Entire home/apt,1.0,,99.0,10,84.0,5,1.0,2.0,1.0
4249,504308,Bedroom with your own  private bathroom.,2486797,Manhattan,10009,40.7249342546239,-73.98417561687813,Private room,1.0,200.0,135.0,104,97.0,2,1.0,1.0,1.0
4252,504322,Sunny 1BD in Greenwich Village,471928,Manhattan,10012,40.729029164555904,-74.00027739996348,Entire home/apt,1.0,,175.0,16,99.0,3,1.0,1.0,1.0
4253,6271491,Cozy room ideal for weekend visitor,32593039,Manhattan,10032,40.841135684655654,-73.93780894239801,Private room,1.0,,45.0,1,80.0,1,1.0,1.0,1.0
4254,10990088,"Downtown, Renovated 2 Bedroom Apt",24361297,Manhattan,10013,40.71780660573208,-73.99569368001791,Entire home/apt,2.0,,100.0,0,,3,1.0,2.0,1.0
4259,10591658,Beautiful Studio in Soho - Village,14077910,Manhattan,10012,40.72842908614596,-73.99989592771,Entire home/apt,0.0,,150.0,5,92.0,2,1.0,1.0,1.0
4260,15577590,Charming Room in East Harlem,19192610,Manhattan,10029,40.78838721034218,-73.94257914228746,Private room,1.0,,95.0,2,100.0,2,1.0,1.0,1.0
4263,3781088,East Village 1BR/1BA-Best Location,18802286,Manhattan,10009,40.7265306317618,-73.9849085711583,Entire home/apt,1.0,,195.0,18,99.0,2,1.0,1.0,1.0
4264,9810403,Huge One-Bedroom in Great Location,50539867,Manhattan,10003,40.73101981338584,-73.98748688476394,Entire home/apt,1.0,,100.0,3,93.0,2,1.0,1.0,1.0
4265,2967631,Upper East Side 1BR,15141764,Manhattan,10128,40.781389085262695,-73.95261002140613,Shared room,1.0,,175.0,1,100.0,1,1.0,1.0,1.0
4266,12956122,Studio in prime UWS location,11363395,Manhattan,10023,40.779977876787775,-73.98017753055608,Entire home/apt,0.0,,125.0,0,,2,1.0,1.0,1.0
4267,9679310,Two Large Rooms in Union Sq Duplex,25165109,Manhattan,10003,40.734294766009754,-73.98689153252235,Private room,1.0,,160.0,1,100.0,4,2.0,2.0,2.0
4272,7451040,Large Bedroom & PRIVATE Bathroom!,39021367,Manhattan,10029,40.784933799300106,-73.94243266297116,Private room,1.0,,95.0,41,96.0,2,1.0,1.0,1.0
4274,11776428,SoHo Prince Street Loft,106627,Manhattan,10012,40.7262558598354,-74.00346282797666,Entire home/apt,0.0,,146.0,2,100.0,2,1.0,1.0,1.0
4277,8499619,Charming apt in prime location!,17407645,Manhattan,10019,40.765281307799725,-73.98870885947315,Entire home/apt,1.0,,250.0,24,98.0,3,1.0,1.0,1.0
4279,3518865,Bedroom in Historic Harlem Home,7399479,Manhattan,10030,40.81664401844429,-73.9441891128046,Private room,1.0,,95.0,10,98.0,2,1.0,1.0,1.0
4280,6926727,Big Comfy Living Room With Futon,35930970,Manhattan,10027,40.807522667884115,-73.9426483184484,Private room,1.0,,59.0,13,95.0,1,1.0,1.0,1.0
4281,8630662,Saint Marks Elegant Queen Size bdrm,45391169,Manhattan,10009,40.72780680718001,-73.98397533926885,Private room,1.0,,99.0,13,95.0,2,1.0,1.0,1.0
4284,15839620,"Cozy Room, lots of sunlight in  chinatown",10594258,Manhattan,10013,40.715654039867566,-73.99882633896874,Entire home/apt,1.0,,95.0,0,,1,1.0,1.0,1.0
4286,15581102,Soho Boutique hotel Style,100385258,Manhattan,10012,40.72479027319768,-74.0032043173396,Entire home/apt,1.0,,285.0,3,93.0,4,1.0,1.0,1.0
4287,4698479,Amazing Studio East Village Apt.,24288629,Manhattan,10003,40.72840147973699,-73.9897621296438,Entire home/apt,1.0,,200.0,5,96.0,2,1.0,1.0,1.0
4288,4829550,Lower East Side Chinatown with lots of light.,266415,Manhattan,10002,40.715962983440726,-73.99257755011969,Private room,1.0,,75.0,1,100.0,1,1.0,1.0,1.0
4290,12824939,Cosy and sunny bedroom with view on Empire State,7639668,Manhattan,10009,40.72764500094768,-73.98189177274575,Private room,1.0,,100.0,6,83.0,2,1.0,1.0,1.0
4296,2339096,Cozy bedroom in Lower East Side,11947308,Manhattan,,40.715902037753374,-73.99058859480728,Private room,1.0,,70.0,110,89.0,2,1.0,1.0,1.0
4297,15376265,Large Sunny Room in Soho with Private Terrace!,3549639,Manhattan,10013,40.718544568040315,-73.99705051711476,Private room,1.0,,150.0,0,,1,1.0,1.0,1.0
4301,14662959,Perfect little studio in Flatiron!,74320781,Manhattan,10010,40.739851971559936,-73.98884989200751,Entire home/apt,0.0,,200.0,0,,1,1.0,1.0,1.0
4303,3915042,Murray Hill / Midtown East Studio,9081271,Manhattan,10016,40.74932602648836,-73.97239714560969,Entire home/apt,1.0,,300.0,2,100.0,2,1.0,1.0,1.0
4304,15880526,"Upper West Side, 1 bedroom, 1 blk to Central Park",85976031,Manhattan,10025,40.79115399669722,-73.96830236748043,Entire home/apt,1.0,,190.0,2,100.0,4,1.0,2.0,1.0
4305,12827921,Spacious LES Room& Private Backyard,13023370,Manhattan,10002,40.71901645751872,-73.98506103637607,Private room,1.0,,90.0,6,97.0,2,1.0,1.0,1.0
4306,14138632,"Gorgeous new 3BR/2BA apartment, perfect location",32280226,Manhattan,10009,40.72317419858085,-73.98738199684254,Private room,1.0,,450.0,16,99.0,8,2.0,4.0,1.0
4308,15973647,A block away from Empire State Bldg,4517942,Manhattan,10016,40.745652237872314,-73.98265712935516,Private room,1.0,,90.0,0,,2,1.0,1.0,1.0
4310,8538668,"Spacious, clean studio in Kips Bay",6193870,Manhattan,10016,40.74469341560325,-73.97443452833242,Entire home/apt,0.0,,125.0,0,,2,1.0,1.0,1.0
4312,769279,Room for rent in East Village,1228080,Manhattan,10009,40.7243915801161,-73.97767411828134,Private room,1.0,140.0,100.0,1,100.0,2,2.0,1.0,1.0
4316,4701414,Spring in NYC!,24302935,Manhattan,10011,40.74302159013697,-73.99989678106232,Entire home/apt,1.0,,195.0,5,88.0,2,1.0,1.0,1.0
4319,4296291,100 st! cozy and clean UES E Harlem,22303517,Manhattan,10029,40.78907222175867,-73.9487705434821,Private room,1.0,,86.0,62,91.0,2,1.0,1.0,1.0
4320,15842529,"Bronx, 35 minutes from Downtown Manhattan.",11371614,Manhattan,10463,40.87707010473111,-73.91010243846245,Shared room,1.0,,50.0,0,,2,1.0,1.0,1.0
4322,10876110,Upper West Side Luxury 4 BR,56342176,Manhattan,10024,40.78492992088832,-73.97645901476736,Entire home/apt,4.0,,800.0,12,92.0,10,2.5,4.0,2.0
4324,11254989,"Sunny, Quiet East Vil/LES APT",58730304,Manhattan,10003,40.72433856573864,-73.98903890900111,Entire home/apt,1.0,,140.0,5,96.0,2,1.0,1.0,1.0
4325,8069858,Room avail in Bowery neighborhood,29896455,Manhattan,10002,40.71742681378358,-73.99372475140667,Private room,1.0,,59.0,23,86.0,1,1.0,1.0,2.0
4326,8764617,Bedroom avail in Bowery neighborhod,29896455,Manhattan,10002,40.718198529649406,-73.99562192342262,Private room,1.0,,65.0,5,100.0,1,1.0,1.0,2.0
4328,3121011,Have couch avail in large UWS apt.,15854491,Manhattan,10023,40.77878764793813,-73.98031800772485,Shared room,1.0,,54.0,19,94.0,2,1.0,1.0,1.0
4329,15580343,Modern high ceiling apt in luxury doorman building,65666547,Manhattan,10005,40.70471722742764,-74.01039792011797,Entire home/apt,0.0,,179.0,1,100.0,2,1.0,1.0,1.0
4331,15842479,High-rise Midtown East Apartment,1462209,Manhattan,10016,40.74580269318735,-73.97719402252973,Private room,1.0,,200.0,0,,2,1.0,1.0,1.0
