,id,name,host_id,neighbourhood_group_cleansed,zipcode,latitude,longitude,room_type,bedrooms,square_feet,price,number_of_reviews,review_scores_rating,accommodates,bathrooms,beds,host_total_listings_count
62,4194010,Idealistic Inwood,21759005,Manhattan,10034,40.864958664726146,-73.92620365557168,Entire home/apt,1.0,,75.0,14,97.0,2,1.0,1.0,1.0
63,11534035,Manhattan! Upper East Side,11670284,Manhattan,10021,40.76990708003496,-73.95144642934379,Private room,1.0,,80.0,14,92.0,1,1.0,1.0,1.0
66,3800789,Luxury Apt - Financial District NYC,19523432,Manhattan,10005,40.705432071750685,-74.01200449296581,Entire home/apt,1.0,,275.0,1,100.0,2,1.0,1.0,1.0
67,14789240,Beautiful Zen Loft Columbus Circle/Midtown,88470393,Manhattan,10019,40.76629365208992,-73.98769770951225,Entire home/apt,1.0,,275.0,0,,2,1.0,1.0,1.0
68,7995078,Private room in exciting NYC,38793847,Manhattan,10031,40.82291344155106,-73.95172237782545,Private room,1.0,,75.0,26,99.0,2,1.0,1.0,1.0
71,7339716,Perfect West Village Apt,36625404,Manhattan,10014,40.73545484854692,-74.0068554942583,Entire home/apt,1.0,,195.0,18,92.0,3,1.0,1.0,1.0
72,6684355,Brownstone off lenox Ave close to Central Park,942128,Manhattan,10026,40.803399921405614,-73.95000632326392,Entire home/apt,1.0,,145.0,2,100.0,4,1.0,2.0,1.0
73,13762234,Lovely 1BR on the Upper East Side,9251010,Manhattan,10028,40.77319787927329,-73.95173397440827,Entire home/apt,1.0,,175.0,6,97.0,3,1.0,1.0,1.0
75,6422186,Full bed in living room,33506480,Manhattan,10128,40.782805512647855,-73.94892348873265,Shared room,1.0,,93.0,16,90.0,1,1.0,1.0,1.0
76,3538609,Hudson River Park Guest Room,17565256,Manhattan,10031,40.81994644490185,-73.95829125016103,Private room,1.0,,85.0,4,100.0,2,1.0,1.0,1.0
77,7776880,STYLISH 3BD Loft in Vibrant Midtown Location,15546865,Manhattan,10016,40.76135494067963,-73.98923698313818,Entire home/apt,3.0,,499.0,44,88.0,7,1.0,4.0,1.0
80,14417576,"Best View, Great Location, Concierge, Gym, Lounge",57910970,Manhattan,10006,40.71097479133367,-74.0139695273875,Entire home/apt,0.0,,180.0,11,96.0,3,1.0,1.0,1.0
81,1878642,"Modern, New York City Manhattan",9782866,Manhattan,10016,40.748553967428656,-73.97700171362362,Entire home/apt,0.0,,195.0,7,97.0,2,1.0,1.0,1.0
83,1441443,Light-filled Harlem Apartment,7683965,Manhattan,10027,40.81328709199918,-73.9445716255851,Entire home/apt,1.0,,99.0,2,90.0,4,1.0,2.0,1.0
86,12320398,Prvt Room available on 77th st,66464874,Manhattan,10075,40.77176704376096,-73.95225989654745,Private room,1.0,,170.0,0,,1,1.0,1.0,1.0
87,11796068,Lux 2br/2ba Private Townhouse Central Park,49385620,Manhattan,10003,40.73485108318602,-73.98812130419864,Entire home/apt,2.0,,129.0,4,90.0,9,2.0,5.0,1.0
88,12713582,charming EV apt w/ private deck,14103157,Manhattan,10009,40.72724247311311,-73.98261057873013,Entire home/apt,1.0,,154.0,13,98.0,2,1.0,1.0,1.0
92,4718152,1br apartment perfect for 1 or 2 p,24373940,Manhattan,10032,40.83577106753393,-73.939309557705,Entire home/apt,1.0,,81.0,39,87.0,3,1.0,2.0,1.0
93,13216357,"Cozy, clean, Harlem studio",14052889,Manhattan,10039,40.82778765990928,-73.9406491670823,Entire home/apt,0.0,,110.0,10,96.0,1,1.0,1.0,1.0
99,2096641,SoHo/Nolita loft apartment,10694842,Manhattan,10013,40.720319300445134,-73.99924541415385,Entire home/apt,1.0,,275.0,113,92.0,4,1.0,2.0,1.0
101,10747457,Clean studio in heart of midtown,1803780,Manhattan,10022,40.759721745607244,-73.96866257604654,Entire home/apt,0.0,,150.0,0,,2,1.0,1.0,1.0
104,7454585,Private Room in Shared Apartment,8670155,Manhattan,10016,40.740846986469315,-73.98153000797797,Private room,1.0,,69.0,1,100.0,1,2.0,1.0,1.0
105,917037,Tranquil East Village Apartment All To Yourself,489117,Manhattan,10009,40.727717916944364,-73.98269741242068,Entire home/apt,1.0,,150.0,1,60.0,3,1.0,1.0,1.0
108,6269530,Beautiful Lower East Side Studio,1640651,Manhattan,10002,40.72125330355679,-73.99034718211252,Entire home/apt,1.0,,149.0,4,100.0,2,1.0,1.0,1.0
109,1179159,Happy Holidays in NYC!!!!!,125117,Manhattan,10026,40.79946378615344,-73.95125204856328,Private room,1.0,,69.0,21,91.0,2,1.0,1.0,1.0
112,523795,L.E.S MUST SEE Amazing 1 bedroom ap,2575296,Manhattan,10002,40.71472708144115,-73.98545972860425,Entire home/apt,1.0,,240.0,7,100.0,4,1.0,1.0,1.0
113,4849173,Midtown Studio,2431674,Manhattan,10022,40.75977658220131,-73.96409466880054,Entire home/apt,0.0,,150.0,0,,3,1.0,1.0,1.0
115,13368831,Upper East Side - Manhattan - Studio,6328251,Manhattan,10128,40.78110363346197,-73.9487846434586,Entire home/apt,0.0,,135.0,7,97.0,4,1.0,1.0,1.0
116,1179080,"Cozy, Modern! Hell's Kitchen/TimeSq",607632,Manhattan,10036,40.76035839049089,-73.98848206231091,Entire home/apt,1.0,,200.0,117,94.0,4,1.0,1.0,1.0
117,12320256,1 Bedroom near Central Park North,55352382,Manhattan,10029,40.7981900650852,-73.94783608320769,Private room,1.0,,95.0,0,,2,1.5,1.0,1.0
118,174563,Prime East Village Apartment,834053,Manhattan,10003,40.72443889960968,-73.98602885911555,Entire home/apt,0.0,,160.0,3,93.0,2,1.0,1.0,1.0
120,15728109,Duplex Plus Terrace,101620320,Manhattan,10022,40.7639489605726,-73.96832188269178,Entire home/apt,3.0,,1200.0,0,,10,3.0,4.0,1.0
122,13564911,Gorgeous exposed-brick 2 BR Apt in LES!,16904031,Manhattan,10002,40.716916976661054,-73.98873849624447,Entire home/apt,2.0,,175.0,0,,2,1.0,2.0,0.0
124,9715404,1 Bedroom in the Upper East Side,6105861,Manhattan,10065,40.76496109669617,-73.95801346663576,Private room,1.0,,100.0,0,,2,1.0,1.0,1.0
125,15072728,COZY 2 BEDROOM - CENTRAL PARK - BEST DEAL!!!,6703931,Manhattan,10028,40.7757965586139,-73.95940810922521,Entire home/apt,2.0,,291.0,9,78.0,5,1.0,3.0,1.0
127,2096581,SUNNY APARTMENT DOWNTOWN!,10694601,Manhattan,10002,40.722869676611595,-73.98462281514767,Entire home/apt,0.0,,179.0,21,81.0,2,1.0,1.0,1.0
128,87279,A Cozy Uptown Private One Bedroom,478136,Manhattan,10035,40.80770307635158,-73.93889875366185,Private room,1.0,,69.0,85,92.0,1,1.0,1.0,1.0
134,9437085,BIG bedroom in Uptown Manhattan,48913242,Manhattan,10032,40.83907338900475,-73.94255704091533,Private room,1.0,,49.0,0,,1,1.5,1.0,1.0
135,10222998,Amazing and cozy! Big apartment!,52530902,Manhattan,10003,40.733051663148814,-73.98418223676113,Entire home/apt,1.0,,235.0,21,77.0,4,1.0,2.0,1.0
138,7601559,Charming UWS Brownstone 1-BR Apt Near Central Park,39862343,Manhattan,10023,40.77590546665289,-73.98023515910306,Entire home/apt,1.0,,215.0,7,91.0,4,1.0,2.0,1.0
140,14690954,Charming studio near Washington Square Park!,91326110,Manhattan,10011,40.734097212868036,-73.99754883465387,Entire home/apt,0.0,,165.0,19,95.0,2,1.0,1.0,1.0
141,15553773,"Amazing new, modern and comfortable studio!",1883287,Manhattan,10006,40.708562584718706,-74.01382796098353,Entire home/apt,0.0,,150.0,0,,2,1.0,1.0,1.0
143,5373310,Spacious Studio in Kips Bay,1262196,Manhattan,10016,40.74049162368121,-73.9811250211057,Entire home/apt,0.0,,150.0,5,88.0,3,1.0,1.0,1.0
144,14417280,STUNNER 1 bdrm in the heart of Greenwich Village,1649510,Manhattan,10011,40.73407485571659,-73.99673428177617,Entire home/apt,1.0,,325.0,4,100.0,2,1.0,1.0,1.0
145,13237628,Charming Studio at Luxury Building in Great Area,67792709,Manhattan,10024,40.790413386950796,-73.97346082476606,Private room,1.0,,117.0,11,100.0,1,1.0,1.0,1.0
147,7732603,"CHARMING, STYLISH SOHO 1BD",22239685,Manhattan,10012,40.728809171058394,-74.00152899120116,Entire home/apt,1.0,,199.0,4,90.0,2,1.0,1.0,1.0
151,10485102,Luxury Room with a View of Wall St.,8613709,Manhattan,10005,40.70378021314775,-74.00687898282284,Private room,1.0,,96.0,12,93.0,2,1.0,1.0,1.0
153,14111975,Cozy spot in the lovely East Village neighborhood,85021301,Manhattan,10009,40.72677196935875,-73.98193906478271,Entire home/apt,1.0,,125.0,2,100.0,2,1.0,1.0,2.0
154,11587779,Upper West Side- 1 room in 3bed apt,27125291,Manhattan,10025,40.799082170093385,-73.9614092147294,Private room,1.0,,79.0,2,90.0,2,1.0,1.0,1.0
157,12189021,"Luxury Park Ave, Central Park gem!",3282294,Manhattan,10128,40.785501001683,-73.95174237289028,Entire home/apt,2.0,,350.0,1,80.0,6,2.0,4.0,1.0
162,15072595,"Manhattan E 60s Luxury, spacious 2 bedrooms&baths",95335935,Manhattan,10065,40.7627119108384,-73.96619966815963,Private room,1.0,,200.0,0,,2,1.0,2.0,1.0
163,9588828,Comfortable UES 2BDR Apt,49630478,Manhattan,10128,40.78006695780228,-73.94677320284306,Entire home/apt,2.0,,115.0,1,100.0,4,1.0,2.0,1.0
164,1056190,Central Park Townhouse Apartment,5817532,Manhattan,10025,40.792176562389386,-73.96750081742958,Entire home/apt,2.0,,400.0,18,97.0,6,2.0,4.0,1.0
166,13761856,Modern light spacious duplex apartment,20183212,Manhattan,10030,40.82349970891089,-73.94332380912974,Entire home/apt,2.0,,250.0,17,96.0,5,2.5,3.0,2.0
167,15859011,Enjoy NYC in Luxury Apartment; Full Amenities,58917900,Manhattan,10031,40.822480469909245,-73.95598322647713,Private room,1.0,,60.0,1,100.0,1,2.0,1.0,1.0
168,654612,THE HEART OF ART IN THE HEART OF NY,3293368,Manhattan,10019,40.76803339137332,-73.98766802612947,Shared room,1.0,,150.0,62,92.0,2,1.0,1.0,1.0
170,14155064,One Bedroom in Heart of Chelsea,2688383,Manhattan,10011,40.741206747862094,-73.99994683603559,Entire home/apt,1.0,,143.0,1,100.0,2,1.0,1.0,1.0
173,16121136,Chelsea Loft Master Bedroom A+ Location!,105117741,Manhattan,10011,40.738565961471345,-73.99533420184417,Private room,1.0,,100.0,0,,2,1.0,1.0,1.0
175,15531911,Sweet Studio in Manhattan,35343884,Manhattan,10033,40.8483591668751,-73.94025023883773,Entire home/apt,0.0,,90.0,1,,2,1.0,1.0,1.0
177,14417798,LES Minimalistic Studio,65356318,Manhattan,,40.718908375390576,-73.99095019549435,Entire home/apt,0.0,,120.0,6,97.0,2,1.0,1.0,1.0
